GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2006,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.9
WHO_REGIONS,AFR,African Region,2006,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2006,MEASLES,Measles,"per 1,000,000 total population",126.8
WHO_REGIONS,AFR,African Region,2006,MUMPS,Mumps,"per 1,000,000 total population",154.2
WHO_REGIONS,AFR,African Region,2006,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2006,PERTUSSIS,Pertussis,"per 1,000,000 total population",38.0
WHO_REGIONS,AFR,African Region,2006,POLIO,Poliomyelitis,"per 1,000,000 <15 population",3.6
WHO_REGIONS,AFR,African Region,2006,RUBELLA,Rubella,"per 1,000,000 total population",5.1
WHO_REGIONS,AFR,African Region,2006,TTETANUS,Total tetanus,"per 1,000,000 total population",10.3
WHO_REGIONS,AFR,African Region,2006,YFEVER,Yellow fever,"per 1,000,000 total population",0.5
WHO_REGIONS,AFR,African Region,2005,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2005,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2005,MEASLES,Measles,"per 1,000,000 total population",426.6
WHO_REGIONS,AFR,African Region,2005,MUMPS,Mumps,"per 1,000,000 total population",576.9
WHO_REGIONS,AFR,African Region,2005,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2005,PERTUSSIS,Pertussis,"per 1,000,000 total population",47.0
WHO_REGIONS,AFR,African Region,2005,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.7
WHO_REGIONS,AFR,African Region,2005,RUBELLA,Rubella,"per 1,000,000 total population",7.0
WHO_REGIONS,AFR,African Region,2005,TTETANUS,Total tetanus,"per 1,000,000 total population",5.0
WHO_REGIONS,AFR,African Region,2005,YFEVER,Yellow fever,"per 1,000,000 total population",1.0
WHO_REGIONS,AFR,African Region,2004,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2004,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2004,MEASLES,Measles,"per 1,000,000 total population",296.2
WHO_REGIONS,AFR,African Region,2004,MUMPS,Mumps,"per 1,000,000 total population",307.6
WHO_REGIONS,AFR,African Region,2004,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2004,PERTUSSIS,Pertussis,"per 1,000,000 total population",55.8
WHO_REGIONS,AFR,African Region,2004,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.9
WHO_REGIONS,AFR,African Region,2004,RUBELLA,Rubella,"per 1,000,000 total population",11.5
WHO_REGIONS,AFR,African Region,2004,TTETANUS,Total tetanus,"per 1,000,000 total population",7.6
WHO_REGIONS,AFR,African Region,2004,YFEVER,Yellow fever,"per 1,000,000 total population",3.1
WHO_REGIONS,AFR,African Region,2003,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2003,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.6
WHO_REGIONS,AFR,African Region,2003,MEASLES,Measles,"per 1,000,000 total population",557.9
